,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Overall_score,housing age,remod age,Exter Score,Bsmt score,Bsmt Finished Area,BsmtFin Score,Gr Liv Calc,total_bath_rooms,Garage years,Garage_Area_Per_Car,Total_Porch_Area,Season
0,109,533352170,60,RL,73,13517,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2.0,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,CBlock,3,3,1,5,533.0,0,0.0,192.0,725.0,GasA,5,Y,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,Attchd,1976.0,2.0,2.0,475.0,3.0,Y,0,44,0,0,0,0,NA,0,NA,0,3,2010,WD ,130500,14,34,5,7,7,533.0,5,1479,3.0,34.0,237.5,44,Spring
1,544,531379050,60,RL,43,11492,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2.0,7,5,1996,1997,Gable,CompShg,VinylSd,NIL,BrkFace,132.0,PConc,4,3,1,5,637.0,0,0.0,276.0,913.0,GasA,5,Y,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,Attchd,1997.0,2.0,2.0,559.0,3.0,Y,0,74,0,0,0,0,NA,0,NA,0,4,2009,WD ,220000,12,13,12,7,8,637.0,5,2122,4.0,12.0,279.5,74,Spring
2,153,535304180,20,RL,68,7922,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,5,7,1953,2007,Gable,CompShg,VinylSd,NIL,None,0.0,CBlock,3,3,1,5,731.0,0,0.0,326.0,1057.0,GasA,4,Y,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,1.0,1.0,246.0,3.0,Y,0,52,0,0,0,0,NA,0,NA,0,1,2010,WD ,109000,12,57,3,7,7,731.0,5,1057,2.0,57.0,246.0,52,Winter
3,318,916386060,60,RL,73,9802,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2.0,5,5,2006,2007,Gable,CompShg,VinylSd,NIL,None,0.0,PConc,4,3,1,0,0.0,0,0.0,384.0,384.0,GasA,3,Y,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,BuiltIn,2007.0,3.0,2.0,400.0,3.0,Y,100,0,0,0,0,0,NA,0,NA,0,4,2010,WD ,174000,10,4,3,6,8,0.0,0,1444,3.0,3.0,200.0,0,Spring
4,255,906425045,50,RL,82,14235,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,PConc,2,4,1,0,0.0,0,0.0,676.0,676.0,GasA,4,Y,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,Detchd,1957.0,1.0,2.0,484.0,3.0,N,0,59,0,0,0,0,NA,0,NA,0,3,2010,WD ,138500,14,110,17,6,7,0.0,0,1445,2.0,53.0,242.0,59,Spring
5,138,535126040,20,RL,137,16492,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1.0,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,CBlock,3,3,1,4,247.0,2,713.0,557.0,1517.0,GasA,5,Y,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,Attchd,1966.0,3.0,2.0,578.0,3.0,Y,0,0,0,0,0,0,NA,0,NA,0,6,2010,WD ,190000,12,44,8,7,7,960.0,6,1888,3.0,44.0,289.0,0,Summer
6,2827,908186070,180,RM,35,3675,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,2.0,6,5,2005,2006,Gable,CompShg,VinylSd,NIL,BrkFace,82.0,PConc,4,3,4,5,547.0,0,0.0,0.0,547.0,GasA,3,Y,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,Basment,2005.0,3.0,2.0,525.0,3.0,Y,0,44,0,0,0,0,NA,0,NA,0,6,2006,New,140000,11,1,0,6,11,547.0,5,1072,3.0,1.0,262.5,44,Summer
7,145,535154050,20,RL,73,12160,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,5,5,1959,1959,Hip,CompShg,Plywood,NIL,BrkFace,180.0,CBlock,3,3,1,2,1000.0,0,0.0,188.0,1188.0,GasA,2,Y,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,2.0,2.0,531.0,3.0,Y,0,0,0,0,0,0,NA,3,NA,0,5,2010,COD,142000,10,51,51,6,7,1000.0,2,1188,2.0,51.0,265.5,0,Spring
8,1942,535353130,20,RL,73,15783,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.0,5,5,1952,1952,Gable,CompShg,Wd Sdng,NIL,None,0.0,CBlock,3,3,1,2,292.0,0,0.0,632.0,924.0,GasA,4,Y,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,Detchd,1952.0,1.0,1.0,420.0,3.0,Y,0,324,0,0,0,0,NA,3,Shed,400,6,2007,WD ,112500,10,55,55,6,7,292.0,2,924,1.0,55.0,420.0,324,Summer
9,1956,535426130,60,RL,70,11606,Pave,NA,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2.0,5,5,1969,1969,Gable,CompShg,Plywood,NIL,BrkFace,192.0,PConc,4,3,3,2,650.0,0,0.0,390.0,1040.0,GasA,4,Y,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,Attchd,1969.0,1.0,2.0,504.0,3.0,Y,335,0,0,0,0,0,NA,0,NA,0,9,2007,WD ,135000,10,38,38,6,10,650.0,2,2080,4.0,38.0,252.0,0,Fall
